7772
NON DEL DUP INV
0.7601166666666667 0.23 0.009883333333333333 0.0 
0.9296666666666668 0.067 0.003333333333333333 0.0 
0.22225 0.775 0.00275 0.0 
0.8706666666666667 0.128 0.0013333333333333333 0.0 
0.729 0.267 0.004 0.0 
0.98825 0.01 0.00175 0.0 
0.987 0.013 0.0 0.0 
0.79225 0.206 0.00075 0.001 
0.6551666666666668 0.322 0.011833333333333333 0.011 
0.6197380952380952 0.28 0.09526190476190474 0.005 
0.999 0.001 0.0 0.0 
0.97925 0.019 0.00175 0.0 
0.21866666666666665 0.032 0.7443333333333334 0.005 
0.96 0.039 0.001 0.0 
0.7178166666666667 0.223 0.040183333333333335 0.019 
0.7020166666666667 0.242 0.05298333333333333 0.003 
0.7294499999999999 0.185 0.07654999999999999 0.009 
0.3315 0.663 0.0025 0.003 
0.6190833333333333 0.367 0.008916666666666666 0.005 
0.478 0.522 0.0 0.0 
0.8995166666666666 0.083 0.016483333333333336 0.001 
0.986 0.014 0.0 0.0 
0.931 0.069 0.0 0.0 
0.879 0.121 0.0 0.0 
0.988 0.011 0.001 0.0 
0.997 0.002 0.001 0.0 
0.8482071428571428 0.013 0.13879285714285713 0.0 
0.974 0.025 0.001 0.0 
0.933 0.065 0.002 0.0 
0.944 0.055 0.001 0.0 
0.7379999999999999 0.254 0.006999999999999999 0.001 
0.98625 0.013 0.00075 0.0 
0.6951166666666669 0.244 0.056883333333333334 0.004 
0.63 0.364 0.004 0.002 
0.866 0.132 0.002 0.0 
0.84 0.158 0.002 0.0 
0.6834999999999999 0.277 0.0115 0.028 
0.519 0.466 0.002 0.013 
0.743 0.255 0.002 0.0 
0.7801583333333332 0.17 0.04984166666666667 0.0 
0.8903166666666666 0.057 0.01968333333333333 0.033 
0.199 0.8 0.001 0.0 
0.278 0.722 0.0 0.0 
0.42883333333333334 0.543 0.010166666666666666 0.018 
0.036 0.964 0.0 0.0 
0.7240047619047618 0.244 0.03199523809523809 0.0 
0.7390833333333331 0.047 0.19691666666666666 0.017 
0.8882833333333334 0.105 0.006716666666666667 0.0 
0.74355 0.188 0.06745 0.001 
0.46442857142857147 0.517 0.013571428571428573 0.005 
0.6301666666666668 0.331 0.019833333333333335 0.019 
0.999 0.001 0.0 0.0 
0.8521666666666666 0.146 0.001833333333333333 0.0 
0.998 0.002 0.0 0.0 
0.997 0.002 0.001 0.0 
0.9123285714285714 0.084 0.0036714285714285716 0.0 
0.6892285714285712 0.014 0.2967714285714285 0.0 
0.886 0.112 0.002 0.0 
0.8444833333333331 0.079 0.07651666666666666 0.0 
0.187 0.13 0.683 0.0 
0.951 0.043 0.006 0.0 
0.6587 0.254 0.08329999999999999 0.004 
0.953 0.047 0.0 0.0 
0.789 0.211 0.0 0.0 
0.924 0.076 0.0 0.0 
0.8800666666666666 0.102 0.013933333333333334 0.004 
0.937 0.055 0.007999999999999998 0.0 
0.9574166666666667 0.025 0.008583333333333333 0.009 
0.956 0.041 0.003 0.0 
0.982 0.018 0.0 0.0 
0.8235 0.15 0.0265 0.0 
0.946 0.051 0.003 0.0 
0.924 0.075 0.001 0.0 
0.19813333333333327 0.006 0.7958666666666669 0.0 
0.7856666666666666 0.208 0.006333333333333333 0.0 
0.995 0.005 0.0 0.0 
0.7778333333333335 0.15 0.05416666666666666 0.018 
0.974 0.025 0.001 0.0 
0.2757333333333333 0.028 0.6962666666666667 0.0 
0.4660666666666667 0.502 0.02293333333333333 0.009 
0.4146333333333333 0.156 0.4233666666666667 0.006 
0.7645000000000001 0.222 0.0135 0.0 
0.811 0.189 0.0 0.0 
0.46425000000000005 0.5 0.03275 0.003 
0.8432666666666667 0.022 0.13473333333333334 0.0 
0.981 0.019 0.0 0.0 
0.982 0.011 0.007 0.0 
0.948 0.052 0.0 0.0 
0.8239166666666666 0.151 0.025083333333333332 0.0 
0.921 0.072 0.007 0.0 
0.8282666666666669 0.164 0.007733333333333333 0.0 
0.1647166666666667 0.001 0.8342833333333336 0.0 
0.9885 0.011 0.0005 0.0 
0.98435 0.001 0.014650000000000002 0.0 
0.471 0.528 0.001 0.0 
1.0 0.0 0.0 0.0 
0.8513333333333333 0.144 0.004666666666666666 0.0 
0.8837976190476191 0.109 0.007202380952380952 0.0 
0.933 0.067 0.0 0.0 
0.8076476190476192 0.113 0.07935238095238094 0.0 
0.9328333333333334 0.061 0.006166666666666667 0.0 
0.8822000000000001 0.11 0.0078000000000000005 0.0 
0.06633333333333334 0.876 0.057666666666666665 0.0 
0.76775 0.224 0.00625 0.002 
0.8745833333333333 0.117 0.008416666666666666 0.0 
0.9593333333333333 0.039 0.0016666666666666666 0.0 
0.8574999999999999 0.138 0.0045 0.0 
0.82475 0.171 0.00225 0.002 
1.0 0.0 0.0 0.0 
0.992 0.008 0.0 0.0 
0.998 0.001 0.001 0.0 
0.984 0.016 0.0 0.0 
0.9698 0.027 0.0032 0.0 
0.8278333333333333 0.165 0.007166666666666666 0.0 
0.999 0.001 0.0 0.0 
0.4784333333333333 0.519 0.0025666666666666663 0.0 
0.947 0.05 0.003 0.0 
0.8287666666666667 0.142 0.011233333333333335 0.018 
0.98 0.015 0.004 0.001 
0.979 0.021 0.0 0.0 
0.7568880952380952 0.154 0.08911190476190475 0.0 
0.18253333333333338 0.002 0.8154666666666663 0.0 
0.9204666666666667 0.047 0.03253333333333333 0.0 
0.97 0.029 0.0 0.001 
0.5381666666666667 0.453 0.007833333333333333 0.001 
0.9543333333333334 0.044 0.0016666666666666666 0.0 
0.777 0.222 0.001 0.0 
0.9415833333333333 0.052 0.006416666666666667 0.0 
0.1363333333333333 0.86 0.0036666666666666666 0.0 
0.11 0.89 0.0 0.0 
0.3217666666666667 0.672 0.005233333333333334 0.001 
0.863 0.135 0.002 0.0 
0.991 0.008 0.0 0.001 
0.8405 0.154 0.0055 0.0 
0.6263809523809525 0.238 0.1356190476190476 0.0 
0.998 0.002 0.0 0.0 
0.991 0.004 0.005 0.0 
0.8929166666666666 0.088 0.017083333333333332 0.002 
0.9366666666666666 0.063 0.0003333333333333333 0.0 
0.7519666666666667 0.218 0.017033333333333334 0.013 
0.9006666666666666 0.092 0.007333333333333333 0.0 
0.99 0.01 0.0 0.0 
0.999 0.0 0.001 0.0 
0.7196 0.266 0.0134 0.001 
0.95 0.05 0.0 0.0 
0.988 0.011 0.001 0.0 
0.083 0.917 0.0 0.0 
0.7685166666666667 0.226 0.004483333333333332 0.001 
0.926 0.074 0.0 0.0 
1.0 0.0 0.0 0.0 
0.8410238095238097 0.109 0.04897619047619047 0.001 
0.955 0.045 0.0 0.0 
0.9144 0.071 0.0146 0.0 
0.96 0.039 0.001 0.0 
0.6468833333333334 0.338 0.014116666666666665 0.001 
0.91065 0.086 0.00335 0.0 
1.0 0.0 0.0 0.0 
0.9523333333333334 0.047 0.0006666666666666666 0.0 
0.0545 0.937 0.0085 0.0 
0.991 0.009 0.0 0.0 
0.876 0.124 0.0 0.0 
0.7948999999999999 0.195 0.0101 0.0 
0.997 0.003 0.0 0.0 
0.9846 0.015 0.0004 0.0 
0.947 0.053 0.0 0.0 
0.6923333333333334 0.289 0.018666666666666668 0.0 
0.7715333333333335 0.127 0.0964666666666667 0.005 
0.9546666666666668 0.04 0.005333333333333333 0.0 
0.8545 0.14 0.0055 0.0 
0.965 0.034 0.001 0.0 
0.888 0.111 0.001 0.0 
0.644575 0.011 0.34442500000000004 0.0 
0.9135 0.084 0.0025 0.0 
0.7711333333333336 0.083 0.11486666666666669 0.031 
0.7633333333333334 0.23 0.006666666666666666 0.0 
0.8674166666666666 0.1 0.03258333333333334 0.0 
0.773457142857143 0.181 0.045542857142857135 0.0 
0.8395 0.131 0.0255 0.004 
0.6798083333333333 0.275 0.04219166666666667 0.003 
0.7610666666666666 0.068 0.10693333333333335 0.064 
0.953 0.046 0.001 0.0 
0.8055 0.193 0.0015 0.0 
0.3935 0.603 0.0035 0.0 
0.9630999999999998 0.002 0.034899999999999994 0.0 
0.974 0.026 0.0 0.0 
0.8230166666666666 0.158 0.014983333333333335 0.004 
0.655 0.345 0.0 0.0 
0.734 0.265 0.001 0.0 
0.242 0.754 0.004 0.0 
1.0 0.0 0.0 0.0 
0.8097333333333333 0.021 0.16926666666666668 0.0 
0.939 0.06 0.001 0.0 
0.982 0.015 0.003 0.0 
0.9368333333333334 0.061 0.0021666666666666666 0.0 
0.8914166666666666 0.098 0.010583333333333332 0.0 
0.7167833333333333 0.193 0.08321666666666669 0.007 
0.997 0.003 0.0 0.0 
0.978 0.018 0.003 0.001 
0.3283333333333333 0.004 0.6676666666666666 0.0 
0.9556666666666667 0.043 0.0013333333333333333 0.0 
0.9615 0.038 0.0005 0.0 
0.007 0.99 0.002 0.001 
0.7565 0.242 0.0015 0.0 
0.2865 0.709 0.004499999999999999 0.0 
0.8102500000000001 0.175 0.013749999999999998 0.001 
0.35 0.65 0.0 0.0 
0.989 0.011 0.0 0.0 
0.8956666666666666 0.1 0.004333333333333333 0.0 
0.991 0.009 0.0 0.0 
0.997 0.003 0.0 0.0 
0.47956666666666664 0.507 0.013433333333333332 0.0 
0.984 0.015 0.001 0.0 
0.989 0.011 0.0 0.0 
0.956 0.028 0.016 0.0 
0.9410833333333334 0.056 0.0029166666666666664 0.0 
0.994 0.006 0.0 0.0 
0.993 0.007 0.0 0.0 
0.974 0.024 0.001 0.001 
0.8071333333333334 0.187 0.005866666666666667 0.0 
0.7869714285714285 0.091 0.09302857142857143 0.029 
1.0 0.0 0.0 0.0 
0.8660833333333333 0.127 0.005916666666666666 0.001 
0.783 0.211 0.005 0.001 
0.96 0.04 0.0 0.0 
0.7791666666666668 0.22 0.0008333333333333333 0.0 
1.0 0.0 0.0 0.0 
0.9690833333333334 0.029 0.0019166666666666666 0.0 
0.7647285714285715 0.136 0.09927142857142858 0.0 
0.994 0.005 0.001 0.0 
0.8493333333333334 0.138 0.009666666666666665 0.003 
0.8616166666666667 0.129 0.009383333333333332 0.0 
0.832 0.167 0.001 0.0 
0.8665166666666666 0.084 0.04948333333333334 0.0 
0.359 0.023 0.618 0.0 
0.19871666666666668 0.114 0.6872833333333335 0.0 
0.5673333333333332 0.416 0.013666666666666666 0.003 
0.943 0.057 0.0 0.0 
0.152 0.847 0.001 0.0 
1.0 0.0 0.0 0.0 
0.4850833333333333 0.49 0.015916666666666666 0.009 
0.9398333333333334 0.058 0.0021666666666666666 0.0 
0.8929166666666667 0.105 0.002083333333333333 0.0 
0.925 0.075 0.0 0.0 
0.69655 0.276 0.02645 0.001 
1.0 0.0 0.0 0.0 
0.588 0.372 0.038 0.002 
0.7262333333333334 0.12 0.14376666666666665 0.01 
0.7893333333333333 0.209 0.0016666666666666666 0.0 
0.8305 0.165 0.0045 0.0 
1.0 0.0 0.0 0.0 
0.997 0.001 0.002 0.0 
0.8585 0.141 0.0005 0.0 
0.7143999999999999 0.267 0.018600000000000002 0.0 
0.7988833333333334 0.132 0.06511666666666666 0.004 
0.5854 0.388 0.0186 0.008 
0.7561333333333333 0.187 0.03186666666666667 0.025 
0.8399333333333334 0.154 0.006066666666666666 0.0 
0.8554166666666667 0.114 0.029583333333333333 0.001 
0.8583 0.129 0.0117 0.001 
0.9065333333333334 0.066 0.02746666666666667 0.0 
0.8767 0.119 0.0043 0.0 
0.874 0.123 0.003 0.0 
0.6388166666666666 0.264 0.08218333333333332 0.015 
0.963 0.037 0.0 0.0 
0.86875 0.112 0.018249999999999995 0.001 
0.3775833333333333 0.606 0.015416666666666665 0.001 
0.8559333333333334 0.116 0.028066666666666667 0.0 
0.6687333333333334 0.146 0.1402666666666667 0.045 
0.8594166666666667 0.132 0.008583333333333332 0.0 
0.9738666666666667 0.019 0.0071333333333333335 0.0 
0.8106833333333334 0.154 0.03531666666666667 0.0 
0.8856666666666665 0.039 0.07533333333333334 0.0 
0.89715 0.08 0.01585 0.007 
0.959 0.041 0.0 0.0 
0.996 0.002 0.0 0.002 
0.593 0.403 0.003 0.001 
0.982 0.018 0.0 0.0 
0.908 0.08 0.001 0.011 
0.17026666666666665 0.006 0.8237333333333333 0.0 
0.8205833333333333 0.157 0.018416666666666665 0.004 
0.6671666666666666 0.327 0.005833333333333333 0.0 
0.4622666666666667 0.521 0.013733333333333334 0.003 
0.8139666666666666 0.126 0.05703333333333334 0.003 
0.6584999999999999 0.329 0.0125 0.0 
0.8653333333333334 0.126 0.008666666666666668 0.0 
0.935 0.064 0.0 0.001 
0.7548333333333335 0.215 0.03016666666666667 0.0 
0.8855 0.109 0.0035 0.002 
0.981 0.019 0.0 0.0 
0.9415 0.055 0.0035 0.0 
0.6602500000000001 0.326 0.00775 0.006 
0.998 0.002 0.0 0.0 
0.9106000000000001 0.089 0.0004 0.0 
0.983 0.013 0.004 0.0 
0.9293333333333332 0.059 0.011666666666666665 0.0 
0.9736666666666668 0.025 0.0013333333333333333 0.0 
0.6649166666666667 0.331 0.004083333333333333 0.0 
0.7298333333333332 0.203 0.06616666666666667 0.001 
0.95 0.05 0.0 0.0 
0.97225 0.018 0.00975 0.0 
0.6595 0.317 0.023499999999999997 0.0 
0.9531666666666666 0.043 0.0038333333333333336 0.0 
0.886 0.114 0.0 0.0 
0.9632166666666667 0.005 0.03178333333333333 0.0 
0.7737333333333336 0.114 0.11226666666666668 0.0 
0.997 0.003 0.0 0.0 
0.999 0.001 0.0 0.0 
0.07843333333333334 0.917 0.004566666666666667 0.0 
0.129 0.871 0.0 0.0 
0.713 0.285 0.002 0.0 
0.965 0.035 0.0 0.0 
0.8884833333333334 0.087 0.02451666666666667 0.0 
0.9765 0.009 0.0145 0.0 
0.9548181818181818 0.041 0.0041818181818181815 0.0 
0.964 0.034 0.002 0.0 
0.7713333333333334 0.219 0.009666666666666667 0.0 
0.7093666666666667 0.285 0.005633333333333334 0.0 
0.5318999999999999 0.44 0.027100000000000003 0.001 
0.8522000000000001 0.096 0.04979999999999999 0.002 
0.8527333333333332 0.141 0.006266666666666667 0.0 
0.8398 0.156 0.004200000000000001 0.0 
0.999 0.001 0.0 0.0 
0.7071500000000001 0.193 0.08385000000000001 0.016 
0.7604166666666666 0.229 0.009583333333333334 0.001 
0.9778333333333332 0.017 0.005166666666666667 0.0 
0.9041666666666667 0.095 0.0008333333333333333 0.0 
0.925 0.075 0.0 0.0 
0.981 0.019 0.0 0.0 
0.972 0.028 0.0 0.0 
0.968 0.032 0.0 0.0 
0.70275 0.288 0.00825 0.001 
0.108 0.887 0.004 0.001 
0.8567166666666667 0.104 0.03728333333333334 0.002 
0.9076666666666666 0.083 0.009333333333333334 0.0 
0.9244166666666668 0.07 0.004583333333333333 0.001 
0.8896666666666667 0.09 0.017333333333333333 0.003 
0.96 0.04 0.0 0.0 
0.903 0.096 0.0 0.001 
0.955 0.044 0.001 0.0 
0.989 0.008 0.003 0.0 
0.8673000000000001 0.097 0.034699999999999995 0.001 
0.873 0.126 0.001 0.0 
0.8823333333333333 0.115 0.0026666666666666666 0.0 
0.7550333333333332 0.24 0.004966666666666667 0.0 
0.252 0.747 0.001 0.0 
0.7318833333333336 0.16 0.10211666666666669 0.006 
0.9319166666666666 0.063 0.004083333333333334 0.001 
0.912 0.084 0.003999999999999999 0.0 
0.935 0.063 0.002 0.0 
0.9036666666666666 0.094 0.002333333333333333 0.0 
0.941 0.059 0.0 0.0 
0.854 0.139 0.005 0.002 
0.7100833333333332 0.214 0.07591666666666666 0.0 
0.939 0.061 0.0 0.0 
0.9186666666666667 0.009 0.07233333333333335 0.0 
0.941 0.059 0.0 0.0 
0.968 0.032 0.0 0.0 
0.20603333333333332 0.035 0.7589666666666667 0.0 
0.7422833333333333 0.207 0.04471666666666667 0.006 
0.9361 0.062 0.0019 0.0 
0.6197999999999998 0.375 0.0052 0.0 
0.68575 0.305 0.00825 0.001 
0.375 0.623 0.0 0.002 
0.2325 0.767 0.0005 0.0 
0.5268999999999999 0.13 0.3401 0.003 
0.43 0.559 0.009 0.002 
0.8052000000000002 0.05 0.12480000000000005 0.02 
0.6924666666666666 0.149 0.14253333333333337 0.016 
0.8533333333333334 0.134 0.012666666666666666 0.0 
